Model,Avg,eng_Latn-bjn_Arab,eng_Latn-hat_Latn,eng_Latn-sna_Latn,eng_Latn-npi_Deva,eng_Latn-ckb_Arab,eng_Latn-quy_Latn,eng_Latn-bug_Latn,eng_Latn-fra_Latn,eng_Latn-nso_Latn,eng_Latn-hau_Latn,eng_Latn-bod_Tibt,eng_Latn-zho_Hans,eng_Latn-guj_Gujr,eng_Latn-pan_Guru,eng_Latn-tel_Telu,eng_Latn-gle_Latn,eng_Latn-prs_Arab,eng_Latn-kab_Latn,eng_Latn-kac_Latn,eng_Latn-kan_Knda,eng_Latn-ben_Beng,eng_Latn-jav_Latn,eng_Latn-kam_Latn,eng_Latn-gaz_Latn,eng_Latn-mal_Mlym,eng_Latn-szl_Latn,eng_Latn-nob_Latn,eng_Latn-arb_Latn,eng_Latn-tam_Taml,eng_Latn-shn_Mymr,eng_Latn-vie_Latn,eng_Latn-wol_Latn,eng_Latn-lmo_Latn,eng_Latn-lug_Latn,eng_Latn-por_Latn,eng_Latn-tgl_Latn,eng_Latn-ajp_Arab,eng_Latn-kat_Geor,eng_Latn-tha_Thai,eng_Latn-khm_Khmr,eng_Latn-luo_Latn,eng_Latn-zho_Hant,eng_Latn-twi_Latn,eng_Latn-bho_Deva,eng_Latn-hye_Armn,eng_Latn-fur_Latn,eng_Latn-cym_Latn,eng_Latn-fao_Latn,eng_Latn-est_Latn,eng_Latn-afr_Latn,eng_Latn-cat_Latn,eng_Latn-ssw_Latn,eng_Latn-ltg_Latn,eng_Latn-sag_Latn,eng_Latn-vec_Latn,eng_Latn-kin_Latn,eng_Latn-als_Latn,eng_Latn-bel_Cyrl,eng_Latn-swe_Latn,eng_Latn-umb_Latn,eng_Latn-kmb_Latn,eng_Latn-dzo_Tibt,eng_Latn-pag_Latn,eng_Latn-fin_Latn,eng_Latn-bak_Cyrl,eng_Latn-nya_Latn,eng_Latn-knc_Arab,eng_Latn-mni_Beng,eng_Latn-ban_Latn,eng_Latn-mag_Deva,eng_Latn-cjk_Latn,eng_Latn-tpi_Latn,eng_Latn-epo_Latn,eng_Latn-tat_Cyrl,eng_Latn-som_Latn,eng_Latn-xho_Latn,eng_Latn-kas_Deva,eng_Latn-nld_Latn,eng_Latn-crh_Latn,eng_Latn-azb_Arab,eng_Latn-kbp_Latn,eng_Latn-deu_Latn,eng_Latn-sin_Sinh,eng_Latn-mri_Latn,eng_Latn-hun_Latn,eng_Latn-war_Latn,eng_Latn-kaz_Cyrl,eng_Latn-ita_Latn,eng_Latn-run_Latn,eng_Latn-srp_Cyrl,eng_Latn-acq_Arab,eng_Latn-kor_Hang,eng_Latn-awa_Deva,eng_Latn-srd_Latn,eng_Latn-gla_Latn,eng_Latn-kea_Latn,eng_Latn-kas_Arab,eng_Latn-mar_Deva,eng_Latn-hne_Deva,eng_Latn-aeb_Arab,eng_Latn-ltz_Latn,eng_Latn-ace_Arab,eng_Latn-tum_Latn,eng_Latn-lvs_Latn,eng_Latn-ron_Latn,eng_Latn-san_Deva,eng_Latn-fij_Latn,eng_Latn-lus_Latn,eng_Latn-arz_Arab,eng_Latn-mos_Latn,eng_Latn-glg_Latn,eng_Latn-pbt_Arab,eng_Latn-swh_Latn,eng_Latn-aka_Latn,eng_Latn-heb_Hebr,eng_Latn-ceb_Latn,eng_Latn-ind_Latn,eng_Latn-bos_Latn,eng_Latn-fon_Latn,eng_Latn-dyu_Latn,eng_Latn-ast_Latn,eng_Latn-ary_Arab,eng_Latn-smo_Latn,eng_Latn-slv_Latn,eng_Latn-rus_Cyrl,eng_Latn-dik_Latn,eng_Latn-zul_Latn,eng_Latn-mlt_Latn,eng_Latn-lao_Laoo,eng_Latn-snd_Arab,eng_Latn-lit_Latn,eng_Latn-sat_Olck,eng_Latn-mkd_Cyrl,eng_Latn-pap_Latn,eng_Latn-ces_Latn,eng_Latn-tso_Latn,eng_Latn-grn_Latn,eng_Latn-jpn_Jpan,eng_Latn-uzn_Latn,eng_Latn-azj_Latn,eng_Latn-bjn_Latn,eng_Latn-pes_Arab,eng_Latn-kik_Latn,eng_Latn-kir_Cyrl,eng_Latn-ewe_Latn,eng_Latn-kon_Latn,eng_Latn-ibo_Latn,eng_Latn-tzm_Tfng,eng_Latn-khk_Cyrl,eng_Latn-yue_Hant,eng_Latn-tsn_Latn,eng_Latn-lin_Latn,eng_Latn-mai_Deva,eng_Latn-slk_Latn,eng_Latn-tuk_Latn,eng_Latn-kmr_Latn,eng_Latn-tur_Latn,eng_Latn-bam_Latn,eng_Latn-dan_Latn,eng_Latn-nus_Latn,eng_Latn-asm_Beng,eng_Latn-ilo_Latn,eng_Latn-taq_Tfng,eng_Latn-ayr_Latn,eng_Latn-taq_Latn,eng_Latn-pol_Latn,eng_Latn-ukr_Cyrl,eng_Latn-zsm_Latn,eng_Latn-acm_Arab,eng_Latn-uig_Arab,eng_Latn-hin_Deva,eng_Latn-fuv_Latn,eng_Latn-plt_Latn,eng_Latn-knc_Latn,eng_Latn-bul_Cyrl,eng_Latn-bem_Latn,eng_Latn-yor_Latn,eng_Latn-isl_Latn,eng_Latn-oci_Latn,eng_Latn-ory_Orya,eng_Latn-eus_Latn,eng_Latn-apc_Arab,eng_Latn-mya_Mymr,eng_Latn-urd_Arab,eng_Latn-lij_Latn,eng_Latn-hrv_Latn,eng_Latn-lim_Latn,eng_Latn-amh_Ethi,eng_Latn-min_Latn,eng_Latn-ars_Arab,eng_Latn-sot_Latn,eng_Latn-nno_Latn,eng_Latn-ydd_Hebr,eng_Latn-sun_Latn,eng_Latn-arb_Arab,eng_Latn-lua_Latn,eng_Latn-tgk_Cyrl,eng_Latn-min_Arab,eng_Latn-scn_Latn,eng_Latn-tir_Ethi,eng_Latn-ell_Grek,eng_Latn-ace_Latn,eng_Latn-spa_Latn
Llama-2-7b-chat-hf,4.95,0.22,1.44,0.44,0.73,0.15,0.49,0.65,39.62,0.16,0.32,0.00,15.90,0.57,0.22,0.62,0.97,2.85,0.12,0.22,0.74,0.15,3.29,0.32,0.20,0.48,6.48,25.28,1.21,0.61,0.20,23.54,0.19,3.63,0.31,39.30,9.78,3.03,3.64,1.72,0.12,0.27,13.28,0.44,1.70,0.90,4.50,1.06,4.41,3.52,19.25,33.47,0.53,1.03,0.40,6.58,0.32,2.21,1.81,32.03,0.26,0.26,0.01,2.85,15.17,0.13,0.46,0.38,0.04,2.56,1.52,0.17,3.14,8.01,0.25,0.31,0.71,0.74,23.39,1.23,0.46,0.11,28.53,0.23,1.93,15.12,2.40,0.23,25.70,0.33,17.05,2.76,8.19,1.70,4.77,1.49,3.54,0.14,0.84,1.17,3.09,3.93,0.17,0.42,1.67,27.30,0.22,0.72,0.91,2.74,0.10,15.09,0.15,0.68,0.41,3.78,5.88,27.27,18.93,0.07,0.23,12.45,2.26,0.65,16.58,22.98,0.07,0.57,3.32,0.19,0.10,2.27,0.58,8.06,4.50,21.71,0.34,0.42,14.94,0.66,1.27,5.24,3.44,0.37,0.19,0.10,0.34,0.32,0.03,0.12,15.08,0.13,0.55,0.97,9.17,0.39,0.42,4.31,0.14,30.44,0.07,0.04,1.06,0.15,0.25,0.16,18.77,20.97,17.56,2.19,0.10,3.98,0.23,0.43,0.29,23.00,0.45,0.24,3.33,9.07,0.12,2.35,2.72,0.03,0.53,4.58,18.27,8.02,0.07,4.04,3.39,0.22,15.84,0.80,4.78,4.16,0.27,0.27,0.22,4.47,0.04,4.94,0.72,26.86
Llama-2-7b-hf,4.62,0.06,0.81,0.21,0.43,0.06,0.21,0.19,40.20,0.13,0.14,0.01,15.69,0.45,0.34,0.55,0.97,2.57,0.05,0.13,0.75,0.67,0.92,0.14,0.08,0.39,3.37,26.86,0.49,0.36,0.04,25.55,0.16,1.72,0.11,40.07,5.48,2.59,1.68,1.77,0.05,0.14,15.25,0.15,0.94,0.77,3.31,1.33,2.55,2.23,19.77,33.28,0.20,0.59,0.13,2.50,0.18,1.41,1.33,35.29,0.08,0.13,0.01,0.89,16.53,0.11,0.19,0.32,0.09,0.87,1.33,0.08,0.71,3.71,0.14,0.28,0.34,0.30,23.84,0.41,0.09,0.05,30.22,0.11,0.79,16.84,0.85,0.15,25.32,0.13,21.95,2.88,7.99,1.45,2.14,1.31,2.49,0.11,0.63,0.73,2.35,1.75,0.06,0.17,0.82,29.88,0.14,0.38,0.39,2.40,0.05,13.82,0.08,0.58,0.13,2.00,1.71,28.51,20.49,0.04,0.11,10.61,1.19,0.22,14.98,25.69,0.07,0.28,2.11,0.06,0.06,1.59,0.14,7.92,2.70,22.95,0.15,0.16,13.07,0.20,0.51,1.32,2.97,0.13,0.17,0.06,0.16,0.13,0.07,0.11,16.38,0.10,0.16,0.56,7.32,0.12,0.23,3.22,0.09,32.02,0.08,0.14,0.48,0.05,0.12,0.07,20.49,24.28,17.87,2.75,0.05,4.01,0.09,0.29,0.16,26.39,0.22,0.15,1.83,8.64,0.11,0.75,2.30,0.03,0.70,2.18,17.99,5.68,0.05,1.78,3.43,0.14,16.95,0.40,1.42,3.31,0.12,0.14,0.07,1.97,0.02,4.68,0.29,25.26
Llama-3-8B,9.93,0.14,3.69,0.30,5.01,1.48,0.18,0.27,46.70,0.26,2.25,0.20,28.91,9.73,11.33,13.62,6.19,19.52,0.13,0.21,11.38,16.90,5.87,0.16,0.14,10.54,7.18,30.23,0.57,9.91,0.73,35.90,0.24,4.67,0.20,46.67,21.26,14.82,15.94,25.68,2.24,0.17,23.34,0.64,5.08,20.97,11.27,18.58,6.15,14.64,38.43,37.78,0.26,0.92,0.11,10.52,0.33,21.01,14.01,41.78,0.08,0.14,0.24,1.77,19.57,3.39,0.36,0.20,0.32,1.24,7.90,0.08,1.94,30.74,4.23,0.56,0.38,0.61,29.15,0.76,0.26,0.30,36.04,5.83,1.79,24.22,4.86,4.90,31.06,0.29,23.13,14.18,12.70,8.41,9.49,3.24,3.27,0.26,4.38,6.95,10.02,13.42,0.13,0.17,14.25,37.07,0.75,0.65,0.96,12.19,0.09,31.62,0.62,8.77,0.41,26.35,5.04,38.31,26.30,0.08,0.07,25.55,4.95,0.65,19.09,32.80,0.32,0.28,12.85,0.70,1.28,13.83,0.64,25.00,8.67,29.97,0.19,0.29,19.86,6.05,5.74,3.68,20.51,0.25,3.01,0.20,0.20,0.83,0.30,1.13,25.81,0.26,0.29,5.59,22.18,0.42,0.85,24.76,0.15,37.91,0.15,7.00,1.96,0.16,0.14,0.12,24.83,28.70,33.66,13.66,1.30,23.40,0.17,0.98,0.20,31.39,0.21,0.57,9.56,26.24,7.63,7.35,10.67,3.78,7.81,6.34,23.67,12.62,0.52,6.29,23.00,0.27,28.25,16.99,4.28,24.80,0.12,1.89,0.16,8.77,0.22,25.64,0.64,29.19
Llama-3-8B-Instruct,4.38,0.12,3.48,0.23,3.66,1.65,0.21,0.27,27.11,0.30,1.69,0.21,21.72,8.01,6.00,9.06,5.08,5.10,0.13,0.21,8.72,6.81,3.10,0.12,0.14,8.67,3.02,5.11,1.34,6.96,0.30,6.41,0.16,1.54,0.15,20.33,10.73,5.57,8.57,26.48,1.44,0.12,7.84,0.42,3.59,16.27,3.47,10.26,3.93,5.82,10.48,11.05,0.18,1.14,0.19,5.52,0.28,6.98,6.13,15.37,0.06,0.09,0.24,1.41,3.26,3.13,0.28,0.32,0.41,1.06,5.71,0.06,2.27,10.49,2.09,0.49,0.25,0.38,7.62,1.56,0.46,0.24,17.32,4.35,1.44,4.50,4.40,3.15,14.71,0.22,6.72,5.02,3.09,6.11,4.42,1.66,1.11,0.63,3.63,5.26,5.65,4.54,0.10,0.18,3.85,5.98,0.66,0.37,1.20,6.15,0.07,13.40,0.92,5.25,0.38,9.08,5.25,14.62,7.25,0.07,0.07,8.59,3.42,0.65,4.44,12.90,0.27,0.27,7.13,0.11,2.00,3.80,0.54,8.55,4.69,10.29,0.12,0.55,12.97,4.70,5.90,1.29,3.12,0.22,2.25,0.15,0.17,0.79,0.07,0.67,13.48,0.26,0.23,2.99,5.15,0.76,1.11,15.54,0.09,15.01,0.18,5.46,1.57,0.04,0.20,0.03,6.80,7.22,4.80,5.27,1.69,7.15,0.13,0.86,0.09,9.36,0.15,0.33,7.10,8.31,8.23,3.37,5.20,3.71,12.87,2.39,4.75,3.64,0.21,3.17,6.48,0.40,6.54,7.64,3.86,6.88,0.10,2.36,0.14,4.49,0.07,12.01,0.74,24.23
Llama-3.1-8B,10.11,0.16,4.95,0.33,7.59,2.11,0.21,0.33,46.56,0.44,2.40,0.26,29.12,9.53,11.86,10.59,7.01,20.19,0.22,0.29,12.17,16.43,6.43,0.16,0.18,13.01,7.27,30.28,0.50,11.43,0.92,35.57,0.23,4.64,0.26,47.42,23.97,13.17,15.59,27.30,2.49,0.16,23.38,0.88,5.63,21.20,11.95,17.12,7.19,16.98,38.44,38.66,0.29,1.05,0.13,10.58,0.43,19.18,16.62,41.68,0.08,0.13,0.34,1.43,20.55,5.83,0.37,0.25,0.32,1.34,9.25,0.07,2.12,33.67,5.55,0.64,0.42,0.61,29.37,1.19,0.32,0.47,34.67,5.20,1.94,24.02,5.33,5.75,30.33,0.31,26.44,16.87,15.17,9.35,6.67,3.35,3.22,0.42,6.85,9.24,9.85,10.34,0.16,0.21,15.20,37.37,1.06,0.67,1.18,9.98,0.10,31.83,0.78,6.08,0.44,26.91,4.68,35.55,27.48,0.09,0.09,26.93,4.34,0.67,19.20,32.37,0.37,0.40,11.37,0.80,2.02,13.82,2.18,27.30,11.35,29.23,0.25,0.38,20.21,7.11,8.07,3.25,24.79,0.32,3.13,0.19,0.17,0.93,0.48,1.65,26.52,0.40,0.26,5.26,20.44,0.50,1.05,18.42,0.16,38.42,0.18,6.34,2.14,0.29,0.15,0.11,24.75,28.05,31.68,14.74,1.69,21.87,0.19,1.15,0.21,29.95,0.23,0.71,11.56,21.28,8.26,9.47,12.30,4.22,11.75,7.57,25.21,11.61,0.76,5.91,22.51,0.45,28.39,17.55,4.64,17.94,0.13,2.18,0.14,7.81,0.25,25.97,0.73,29.21
Llama-3.1-8B-Instruct,4.35,0.25,4.38,0.34,3.80,1.30,0.39,0.68,24.81,0.53,1.63,0.27,12.18,10.76,4.23,15.35,7.43,5.53,0.41,0.52,8.29,7.40,4.11,0.45,0.39,14.16,2.48,7.67,1.24,13.26,0.71,4.34,0.77,2.08,0.39,18.85,10.90,5.66,8.51,27.49,5.30,0.33,6.97,1.27,4.06,15.51,6.99,13.24,5.07,5.24,15.69,11.94,0.35,1.29,0.37,4.90,0.70,6.66,3.24,13.92,0.13,0.20,0.29,2.67,7.74,3.64,0.72,0.28,0.67,2.61,2.38,0.12,2.79,12.45,3.48,1.15,0.53,0.33,8.48,1.40,0.32,0.77,15.07,2.64,3.31,3.28,6.34,2.82,15.26,0.46,6.80,3.37,8.47,1.53,3.48,1.94,1.67,1.63,4.68,1.92,4.17,5.40,0.30,0.39,4.18,7.21,0.64,0.66,1.28,3.65,0.19,9.90,1.41,4.67,0.93,18.07,3.01,12.35,3.44,0.17,0.18,5.77,2.33,1.28,4.70,7.72,0.80,0.50,6.57,0.72,2.69,2.41,2.75,8.95,6.70,7.89,0.29,0.81,14.35,3.01,2.44,3.21,3.98,0.58,2.33,0.36,0.28,1.11,0.30,1.24,4.85,0.50,0.46,1.59,5.36,0.54,1.33,6.88,0.33,14.09,0.50,1.85,4.05,0.17,0.41,0.25,6.37,5.25,4.36,3.24,1.45,5.62,0.31,1.39,0.41,7.32,0.33,0.37,6.29,8.93,1.94,6.41,4.48,4.90,17.45,3.03,3.43,5.64,1.06,6.13,2.52,0.50,10.01,10.23,3.25,4.62,0.21,1.92,0.22,5.44,0.23,6.74,0.68,14.92
LLaMAX2-7B,0.80,0.06,0.10,0.03,0.57,0.61,0.02,0.04,3.01,0.08,0.14,0.00,0.92,1.82,0.93,3.29,1.48,0.89,0.01,0.06,1.54,0.82,0.63,0.02,0.03,1.50,0.49,1.61,0.05,1.22,0.07,2.09,0.04,0.30,0.05,3.39,1.65,1.43,2.06,1.07,0.91,0.03,0.68,0.04,0.40,1.74,0.33,2.42,0.17,1.16,2.64,4.65,0.14,0.09,0.03,0.49,0.03,1.15,1.11,2.24,0.02,0.01,0.00,0.13,1.42,0.17,0.10,0.36,0.06,0.12,0.49,0.02,0.10,1.71,0.21,0.09,0.15,0.09,2.09,0.10,0.08,0.02,2.92,0.06,0.39,1.16,0.57,0.62,2.49,0.04,1.99,1.66,1.06,0.43,0.22,0.51,0.21,0.20,1.20,0.41,1.12,0.95,0.11,0.04,1.10,3.05,0.06,0.06,0.10,1.10,0.01,3.10,0.65,0.73,0.03,1.93,0.65,2.07,1.51,0.02,0.02,1.49,0.74,0.15,1.61,4.87,0.03,0.18,2.39,0.59,0.47,1.17,0.07,2.50,0.14,2.01,0.04,0.03,0.88,0.39,0.55,0.22,1.45,0.02,0.47,0.03,0.05,0.16,0.05,0.51,0.78,0.04,0.07,0.35,1.44,0.03,0.32,0.98,0.02,2.28,0.11,0.24,0.09,0.02,0.02,0.03,1.63,4.24,1.16,1.39,0.00,1.26,0.02,0.16,0.04,3.73,0.05,0.06,1.19,2.15,0.24,0.26,1.41,0.51,0.72,0.39,1.24,0.47,0.40,0.17,2.19,0.06,0.98,0.91,0.14,2.20,0.02,0.58,0.10,0.27,0.03,2.62,0.09,2.56
LLaMAX2-7B-Alpaca,12.51,0.26,14.55,9.85,18.99,8.13,0.32,0.39,43.25,5.06,14.75,0.01,24.66,18.75,17.01,19.97,22.42,17.13,0.11,0.22,17.05,19.82,19.19,0.19,0.60,16.11,9.19,32.20,0.38,14.15,0.03,32.57,0.53,3.12,1.20,43.29,27.86,23.04,21.54,11.03,10.72,0.25,19.16,0.36,8.88,25.24,5.43,34.73,6.81,20.71,42.02,38.47,2.94,2.74,0.21,5.42,1.72,17.52,20.14,40.63,0.13,0.20,0.01,2.27,21.02,0.66,11.98,0.50,0.37,4.12,11.93,0.11,1.19,28.93,2.26,9.47,9.87,1.60,28.34,2.88,0.55,0.08,34.19,0.94,15.00,22.83,11.51,13.64,29.09,0.43,29.16,22.64,14.78,12.66,6.66,5.91,5.25,0.89,15.93,12.00,17.85,20.73,0.21,2.68,23.75,36.23,0.59,0.77,0.68,18.15,0.09,32.65,9.58,26.63,0.32,26.46,24.93,36.19,27.70,0.06,0.12,24.07,13.27,2.22,25.87,29.47,0.22,10.13,34.79,9.52,11.22,21.51,0.12,32.56,4.07,29.31,0.36,0.19,20.53,12.03,13.73,2.51,21.77,0.20,10.68,0.23,1.20,9.51,0.12,7.38,22.11,3.07,5.62,7.36,28.00,0.20,10.46,17.61,0.16,40.38,0.23,8.63,1.57,0.05,0.13,0.15,24.69,28.71,34.39,21.50,0.12,25.62,0.38,5.19,0.25,35.75,0.53,1.40,21.56,27.99,10.07,5.52,20.77,7.42,18.43,3.95,25.67,7.01,6.85,1.09,26.93,3.23,23.08,15.79,7.36,27.82,0.30,15.20,0.27,4.79,0.50,24.97,0.52,27.82
LLaMAX3-8B,0.45,0.10,0.33,0.27,0.53,0.42,0.08,0.10,0.91,0.20,0.38,0.03,0.43,2.13,1.17,2.64,0.57,0.39,0.05,0.11,2.75,0.98,0.34,0.10,0.06,2.09,0.25,0.55,0.13,1.59,0.21,0.62,0.09,0.21,0.13,0.80,0.64,0.43,3.00,0.75,0.97,0.08,0.35,0.17,0.29,1.98,0.27,0.87,0.26,0.48,0.82,0.76,0.16,0.10,0.10,0.23,0.14,0.56,0.70,0.73,0.06,0.08,0.02,0.19,0.53,0.43,0.27,0.21,0.17,0.17,0.41,0.05,0.27,0.69,0.48,0.28,0.27,0.11,0.54,0.12,0.07,0.11,0.69,1.10,0.49,0.59,0.45,0.62,0.59,0.11,0.75,0.46,0.30,0.35,0.33,0.33,0.17,0.18,0.50,0.33,0.35,0.51,0.14,0.17,0.59,0.82,0.10,0.16,0.19,0.38,0.05,0.60,0.38,0.56,0.15,1.02,0.55,0.57,0.58,0.07,0.05,0.52,0.24,0.31,0.49,0.63,0.10,0.33,0.91,1.57,0.49,0.54,0.25,0.76,0.29,0.57,0.11,0.10,0.37,0.50,0.42,0.16,0.47,0.13,0.50,0.10,0.12,0.38,0.07,0.56,0.41,0.17,0.16,0.28,0.57,0.12,0.35,0.44,0.08,0.70,0.15,0.57,0.26,0.05,0.06,0.08,0.56,0.60,0.59,0.45,0.23,0.67,0.07,0.30,0.09,0.84,0.12,0.20,0.53,0.65,0.96,0.33,0.41,0.97,0.60,0.23,0.55,0.28,0.71,0.18,0.58,0.18,0.50,1.18,0.23,0.61,0.09,0.68,0.09,0.27,0.20,0.76,0.12,0.54
LLaMAX3-8B-Alpaca,11.64,0.13,12.13,5.75,18.94,3.26,0.14,0.33,43.69,0.55,9.88,0.03,26.52,16.34,14.43,19.82,19.40,21.51,0.11,0.22,14.90,17.82,16.74,0.24,0.13,17.12,4.80,31.60,0.22,13.59,0.13,35.43,0.20,5.23,0.35,44.67,26.20,15.42,18.79,29.24,6.71,0.22,22.03,0.27,5.75,22.34,9.55,33.87,6.98,18.46,42.41,37.94,1.94,2.52,0.20,10.20,0.47,21.46,20.46,41.47,0.09,0.13,0.01,1.67,20.67,1.66,5.89,0.27,0.16,1.83,10.85,0.07,1.68,33.17,3.27,6.20,4.60,0.50,28.62,1.16,0.26,0.16,35.03,1.80,8.70,24.65,10.48,9.07,30.77,0.25,14.67,15.97,14.38,8.55,9.08,4.07,2.85,0.34,12.50,5.87,11.76,17.94,0.09,0.68,23.25,36.81,1.11,0.48,0.55,16.32,0.08,33.20,5.97,26.51,0.26,29.43,16.44,37.46,28.44,0.12,0.09,26.43,6.57,0.79,19.53,31.56,0.18,5.23,29.08,5.86,5.92,20.18,0.15,32.42,7.74,30.88,0.24,0.17,17.28,9.38,7.71,2.26,24.56,0.27,8.41,0.15,0.27,8.88,0.12,6.19,24.22,0.49,0.48,5.72,25.16,0.32,8.64,16.78,0.16,39.10,0.22,6.22,1.97,0.13,0.10,0.11,24.37,29.90,36.00,17.73,0.33,24.66,0.14,1.94,0.18,34.99,0.25,0.96,19.86,28.81,5.57,5.36,12.77,3.90,19.46,5.81,27.13,8.42,3.59,2.28,23.29,0.62,27.40,14.87,7.58,26.15,0.18,14.06,0.16,8.35,0.17,27.22,0.59,28.52
mala-500-10b-v1,0.60,0.00,0.05,0.00,0.01,0.00,0.00,0.00,9.61,0.02,0.01,0.00,1.88,0.01,0.02,0.00,0.17,0.02,0.02,0.03,0.00,0.01,0.04,0.00,0.01,0.03,0.28,5.21,0.07,0.01,0.01,0.58,0.01,0.19,0.01,4.27,0.82,0.01,0.03,0.07,0.04,0.01,1.73,0.03,0.01,0.02,0.40,0.66,0.42,0.42,2.87,4.09,0.00,0.00,0.02,0.66,0.01,1.05,0.41,5.75,0.00,0.00,0.01,0.06,1.16,0.01,0.01,0.20,0.00,0.05,0.01,0.00,0.14,0.74,0.01,0.02,0.00,0.00,4.27,0.01,0.00,0.03,4.85,0.05,0.03,0.48,0.07,0.00,3.98,0.01,2.91,0.01,0.03,0.01,0.11,0.28,0.08,0.00,0.01,0.01,0.01,0.37,0.01,0.01,0.55,2.35,0.00,0.05,0.06,0.01,0.01,0.87,0.00,0.01,0.04,0.01,0.12,5.55,3.16,0.02,0.00,1.85,0.00,0.13,1.11,1.98,0.00,0.00,0.50,0.03,0.02,0.06,0.07,1.51,0.09,1.24,0.01,0.03,0.04,0.04,0.05,0.06,0.04,0.04,0.01,0.02,0.01,0.05,0.01,0.01,4.53,0.01,0.01,0.02,0.37,0.02,0.02,0.10,0.01,7.88,0.01,0.01,0.05,0.01,0.01,0.01,0.77,1.27,3.07,0.02,0.01,0.03,0.00,0.14,0.01,3.17,0.01,0.03,0.48,0.38,0.00,0.02,0.01,0.00,0.03,0.09,4.03,0.39,0.01,0.04,0.01,0.01,3.99,0.06,0.04,0.01,0.00,0.04,0.00,0.29,0.01,0.16,0.01,6.39
mala-500-10b-v2,0.54,0.00,0.03,0.01,0.01,0.01,0.01,0.01,6.72,0.04,0.02,0.01,3.56,0.02,0.07,0.00,0.21,0.06,0.02,0.04,0.00,0.01,0.05,0.00,0.02,0.01,0.13,6.01,0.08,0.01,0.00,0.25,0.01,0.15,0.01,3.88,1.81,0.01,0.04,0.08,0.12,0.00,2.42,0.05,0.01,0.12,0.61,0.75,0.45,0.31,2.45,3.15,0.00,0.01,0.02,0.63,0.04,0.39,0.71,5.11,0.01,0.00,0.02,0.05,0.78,0.01,0.01,0.27,0.00,0.02,0.01,0.00,0.24,0.73,0.01,0.03,0.01,0.01,5.19,0.02,0.00,0.10,6.63,0.04,0.06,0.49,0.16,0.01,3.58,0.01,1.05,0.02,0.01,0.01,0.14,0.40,0.07,0.01,0.01,0.01,0.01,0.18,0.02,0.02,0.35,1.33,0.00,0.07,0.05,0.03,0.01,0.50,0.01,0.04,0.04,0.01,0.10,4.43,1.30,0.03,0.00,1.34,0.01,0.15,0.67,1.47,0.01,0.01,0.36,0.03,0.01,0.06,0.06,0.88,0.06,0.85,0.01,0.04,0.14,0.03,0.05,0.04,0.07,0.04,0.01,0.03,0.02,0.04,0.00,0.01,5.85,0.02,0.01,0.04,0.27,0.01,0.02,0.04,0.01,6.89,0.04,0.01,0.08,0.00,0.01,0.01,0.66,0.89,1.96,0.02,0.01,0.03,0.00,0.18,0.00,0.98,0.01,0.07,0.46,0.26,0.00,0.02,0.03,0.00,0.02,0.22,1.26,0.17,0.00,0.04,0.02,0.02,4.29,0.11,0.01,0.01,0.01,0.05,0.00,0.10,0.00,0.39,0.01,7.59
Marco-LLM-GLO,9.27,2.20,2.51,0.91,13.55,0.31,0.20,0.29,47.53,1.01,1.29,0.05,32.84,7.53,5.48,11.93,1.00,12.35,0.07,0.17,3.38,19.27,5.99,0.30,0.09,8.26,6.20,26.12,1.40,6.28,0.29,36.58,0.29,4.76,0.22,46.70,14.80,19.11,9.01,30.96,4.37,0.19,23.60,0.49,5.28,5.01,7.12,2.53,4.45,7.36,29.88,30.06,0.82,3.55,0.13,7.92,0.48,15.07,4.87,36.13,0.23,0.21,0.08,1.86,17.13,0.61,0.97,4.32,1.02,3.62,9.75,0.10,6.67,13.35,0.73,1.33,1.71,0.25,28.77,1.39,0.14,0.22,36.07,2.56,0.59,17.50,6.26,10.14,30.73,0.52,16.70,29.28,18.80,6.78,4.21,0.76,4.92,3.94,5.35,5.39,17.80,5.80,4.24,0.60,19.84,35.17,1.03,0.90,0.48,25.70,0.06,29.62,0.84,6.95,0.46,19.70,4.98,38.71,23.66,0.07,0.07,18.13,11.51,0.99,17.11,34.18,0.14,1.78,8.70,1.52,1.03,12.67,0.48,23.15,3.72,28.22,0.22,0.18,22.60,0.29,12.13,5.22,15.34,0.43,1.57,0.15,0.50,0.61,0.13,0.72,21.09,0.50,0.62,5.21,22.90,0.26,0.52,29.82,0.13,30.48,0.16,3.41,2.06,0.30,0.12,0.07,25.13,29.62,34.44,25.07,0.48,21.23,0.15,5.05,0.11,24.98,0.41,0.33,7.90,12.26,2.44,2.73,26.20,1.70,15.42,9.45,20.85,8.39,0.16,6.37,34.87,0.73,19.62,2.70,6.75,33.61,0.25,0.51,4.77,3.78,0.04,18.68,1.37,29.95
